500 7000
500 1250
500 1415 8
550 1396 9
600 1377 11
650 1356 11
700 1336 13
750 1315 15
800 1293 16
850 1271 18
900 1248 21
950 1224 23
1000 1199 26
1050 1172 29
1100 1145 35
1150 1114 41
1200 1082 52
1250 1045 71
1300 1004 143

850 2250
850 1419 5
900 1408 5
950 1396 5
1000 1385 5
1050 1373 5
1100 1362 6
1150 1350 6
1200 1338 7
1250 1326 7
1300 1314 8
1350 1302 9
1400 1289 9
1450 1276 10
1500 1263 10
1550 1250 11
1600 1236 12
1650 1222 13
1700 1208 14
1750 1193 15
1800 1178 16
1850 1162 17
1900 1146 19
1950 1129 21
2000 1112 23
2050 1093 26
2100 1073 29
2150 1052 34
2200 1029 40
2250 1003 49
2300 975 70

1100 3000
1100 1421 3
1150 1413 4
1200 1404 4
1250 1395 3
1300 1387 4
1350 1378 4
1400 1369 4
1450 1360 4
1500 1351 5
1550 1342 5
1600 1333 5
1650 1324 6
1700 1314 6
1750 1305 6
1800 1296 7
1850 1286 7
1900 1276 7
1950 1266 8
2000 1256 8
2050 1246 9
2100 1235 9
2150 1224 9
2200 1214 10
2250 1202 10
2300 1192 12
2350 1180 12
2400 1168 13
2450 1155 13
2500 1143 14
2550 1130 15
2600 1116 16
2650 1102 17
2700 1088 19
2750 1073 21
2800 1057 24
2850 1040 27
2900 1022 31
2950 1002 36
3000 981 44
3050 956 60

1450 4050
1450 1421 3
1500 1415 3
1550 1408 3
1600 1401 2
1650 1395 3
1700 1388 3
1750 1382 4
1800 1375 3
1850 1368 3
1900 1361 3
1950 1355 4
2000 1348 4
2050 1341 4
2100 1334 4
2150 1327 4
2200 1320 4
2250 1313 5
2300 1306 5
2350 1298 5
2400 1291 5
2450 1284 6
2500 1276 5
2550 1269 6
2600 1261 6
2650 1253 6
2700 1245 6 
2750 1237 6
2800 1229 6
2850 1221 7
2900 1213 7
2950 1204 7
3000 1196 8
3050 1187 8
3100 1178 8
3150 1169 9
3200 1160 9
3250 1151 10
3300 1141 10
3350 1131 11
3400 1121 12
3450 1111 13
3500 1100 13
3550 1089 14
3600 1078 16
3650 1066 17
3700 1053 17
3750 1040 19
3800 1027 21
3850 1012 23
3900 997 27
3950 980 31
4000 962 37
4050 941 48
4100 917 87

1750 4850
1750 1420 3
1800 1414 2
1850 1409 3
1900 1404 3
1950 1398 3
2000 1392 2
2050 1387 3
2100 1381 3
2150 1375 3
2200 1370 3
2250 1364 3
2300 1359 3
2350 1353 3
2400 1347 3
2450 1341 3
2500 1336 4
2550 1330 4
2600 1324 4
2650 1318 4
2700 1312 4
2750 1306 4
2800 1300 4
2850 1294 4
2900 1288 5
2950 1282 5
3000 1275 5
3050 1269 5
3100 1263 5
3150 1256 5
3200 1250 6
3250 1244 6
3300 1237 6
3350 1230 6
3400 1223 6
3450 1216 6
3500 1209 6
3550 1202 7
3600 1195 7
3650 1188 7
3700 1181 8
3750 1173 8
3800 1165 8
3850 1158 9
3900 1150 9
3950 1142 9
4000 1134 10
4050 1125 10
4100 1116 10
4150 1107 10
4200 1098 11
4250 1089 12
4300 1080 13
4350 1070 13
4400 1060 14
4450 1049 15
4500 1038 16
4550 1026 17
4600 1015 19
4650 1002 21
4700 988 23
4750 974 27
4800 958 31
4850 940 38
4900 921 53

2000 5650
