2500 7000
2500 1419 2
2550 1416 2
2600 1412 2
2650 1408 2
2700 1404 2
2750 1400 2
2800 1396 2
2850 1393 2
2900 1389 2
2950 1385 2
3000 1381 2
3050 1377 2
3100 1373 2
3150 1369 2
3200 1365 2
3250 1361 2
3300 1357 2
3350 1353 2
3400 1349 2
3450 1345 2
3500 1341 3
3550 1337 3
3600 1333 3
3650 1329 3
3700 1325 3
3750 1321 3
3800 1316 3
3850 1312 3
3900 1308 3
3950 1304 3
4000 1300 3
4050 1295 3
4100 1291 3
4150 1287 3
4200 1282 4
4250 1278 4
4300 1274 4
4350 1269 4
4400 1265 4
4450 1260 4
4500 1256 4
4550 1251 4
4600 1246 4
4650 1242 4
4700 1237 4
4750 1232 4
4800 1228 4
4850 1223 4
4900 1218 4
4950 1213 4
5000 1208 4
5050 1203 5
5100 1198 5
5150 1193 5
5200 1188 5
5250 1183 5
5300 1178 6
5350 1173 6
5400 1167 6
5450 1162 6
5500 1156 6
5550 1151 6
5600 1145 6
5650 1139 6
5700 1134 7
5750 1128 7
5800 1122 7
5850 1116 8
5900 1110 8
5950 1103 8
6000 1097 8
6050 1090 8
6100 1084 9
6150 1077 9
6200 1070 9
6250 1063 10
6300 1056 11
6350 1048 11
6400 1041 12
6450 1033 12
6500 1025 13
6550 1016 13
6600 1007 14
6650 998 15
6700 989 17
6750 978 17
6800 968 20
6850 956 21
6900 944 24
6950 931 28
7000 916 35
7050 899 48
