850 15350
850 2350
850 1417 4
900 1406 4
950 1394 4
1000 1383 5
1050 1371 5
1100 1359 6
1150 1347 6
1200 1335 6
1250 1323 7
1300 1311 7
1350 1298 7
1400 1285 8
1450 1272 9
1500 1259 9
1550 1245 10
1600 1231 10
1650 1217 10
1700 1202 11
1750 1187 12
1800 1172 13
1850 1156 14
1900 1139 15
1950 1121 17
2000 1103 18
2050 1084 20
2100 1063 22
2150 1041 25
2200 1017 29
2250 990 33
2300 958 40
2350 918 53
2400 857 82

2100 5950
2100 1419 2
2150 1414 2
2200 1410 2
2250 1405 2
2300 1400 2
2350 1396 2
2400 1391 2
2450 1387 2
2500 1382 2
2550 1377 2
2600 1373 2
2650 1368 2
2700 1363 2
2750 1358 2
2800 1354 2
2850 1349 2
2900 1344 2
2950 1339 2
3000 1334 2
3050 1330 3
3100 1325 3
3150 1320 3
3200 1315 3
3250 1310 3
3300 1305 3
3350 1300 3
3400 1294 3
3450 1289 3
3500 1284 3
3550 1279 3
3600 1274 3
3650 1268 3
3700 1263 4
3750 1258 4
3800 1252 4
3850 1247 4
3900 1241 4
3950 1236 4
4000 1230 4
4050 1224 4
4100 1219 4
4150 1213 5
4200 1207 5
4250 1201 5
4300 1195 5
4350 1189 5
4400 1183 5
4450 1177 5
4500 1170 5
4550 1164 6
4600 1157 6
4650 1151 6
4700 1144 6
4750 1137 7
4800 1130 7
4850 1123 7
4900 1116 7
4950 1109 7
5000 1101 8
5050 1093 8
5100 1086 8
5150 1078 9
5200 1069 9
5250 1061 10
5300 1052 10
5350 1043 11
5400 1034 11
5450 1024 12
5500 1014 13
5550 1003 13
5600 992 14
5650 980 16
5700 967 17
5750 954 19
5800 939 21
5850 922 24
5900 903 28
5950 879 36
6000 843 52

5300 15350
5300 1421 1
5350 1420 1
5400 1418 1
5450 1416 1
5500 1414 1
5550 1413 1
5600 1411 1
5650 1409 1
5700 1407 1
5750 1405 1
5800 1404 1
5850 1402 1
5900 1400 1
5950 1398 1
6000 1396 1
6050 1395 1
6100 1393 1
6150 1391 1
6200 1389 1
6250 1387 1
6300 1386 1
6350 1384 1
6400 1382 1
6450 1380 1
6500 1378 1
6550 1377 1
6600 1375 1
6650 1373 1
6700 1371 1
6750 1369 1
6800 1367 1
6850 1366 1
6900 1364 1
6950 1362 1
7000 1360 1
7050 1358 1
7100 1356 1
7150 1354 1
7200 1353 1
7250 1351 1
7300 1349 1
7350 1347 1
7400 1345 1
7450 1343 1
7500 1341 1
7550 1339 1
7600 1338 1
7650 1336 1
7700 1334 1 
7750 1332 1
7800 1330 1
7850 1328 1
7900 1326 1
7950 1324 1
8000 1322 1
8050 1320 1
8100 1318 1
8150 1316 1
8200 1314 1
8250 1313 1
8300 1311 1
8350 1309 1
8400 1307 1
8450 1305 1
8500 1303 1
8550 1301 1
8600 1299 1
8650 1297 1
8700 1295 1
8750 1293 1
8800 1291 1
8850 1289 1
8900 1287 1
8950 1285 1
9000 1283 1
9050 1281 1
9100 1279 1
9150 1276 1
9200 1274 1
9250 1272 1
9300 1270 1
9350 1268 1
9400 1266 1
9450 1264 1
9500 1262 1
9550 1260 2
9600 1258 2
9650 1256 2 
9700 1254 2
9750 1251 2
9800 1249 2 
9850 1247 2
9900 1245 2
9950 1243 2
10000 1241 2
10050 1238 2
10100 1236 2
10150 1234 2
10200 1232 2
10250 1230 2
10300 1227 2
10350 1225 2
10400 1223 2
10450 1221 2
10500 1219 2
10550 1216 2
10600 1214 2
10650 1212 2
10700 1209 2
10750 1207 2
10800 1205 2
10850 1203 2
10900 1200 2
10950 1198 2
11000 1195 2
11050 1193 2
11100 1191 2
11150 1188 2
11200 1186 2
11250 1184 2
11300 1181 2
11350 1179 2 
11400 1176 2
11450 1174 2
11500 1171 2
11550 1169 2
11600 1166 2
11650 1164 2
11700 1161 2
11750 1159 2
11800 1156 2
11850 1154 2
11900 1151 2
11950 1148 2
12000 1146 2
12050 1143 2 
12100 1141 2
12150 1138 3
12200 1135 3
12250 1132 3
12300 1130 3
12350 1127 3
12400 1124 3
12450 1121 3
12500 1119 3
12550 1116 3
12600 1113 3
12650 1110 3
12700 1107 3
12750 1104 3
12800 1101 3
12850 1098 3
12900 1095 3
12950 1092 3
13000 1089 3
13050 1086 3
13100 1083 3
13150 1080 3
13200 1077 4
13250 1074 4
13300 1070 4
13350 1067 4
13400 1064 4
13450 1060 4
13500 1057 4
13550 1053 4
13600 1050 4
13650 1046 4
13700 1043 4
13750 1039 4
13800 1036 5
13850 1032 5
13900 1028 5
13950 1024 5
14000 1020 5
14050 1016 5
14100 1012 5
14150 1008 5
14200 1004 6
14250 1000 6
14300 995 6
14350 991 6
14400 986 6
14450 982 6 
14500 977 7
14550 972 7
14600 967 7
14650 962 7
14700 956 8
14750 951 8
14800 945 8
14850 939 9
14900 933 9
14950 926 10
15000 919 11
15050 912 11
15100 904 12
15150 895 13
15200 886 15
15250 876 17
15300 863 20
15350 848 24
15400 826 35
