2100 5950
2100 1419 2
2150 1414 2
2200 1410 2
2250 1405 2
2300 1400 2
2350 1396 2
2400 1391 2
2450 1387 2
2500 1382 2
2550 1377 2
2600 1373 2
2650 1368 2
2700 1363 2
2750 1358 2
2800 1354 2
2850 1349 2
2900 1344 2
2950 1339 2
3000 1334 2
3050 1330 3
3100 1325 3
3150 1320 3
3200 1315 3
3250 1310 3
3300 1305 3
3350 1300 3
3400 1294 3
3450 1289 3
3500 1284 3
3550 1279 3
3600 1274 3
3650 1268 3
3700 1263 4
3750 1258 4
3800 1252 4
3850 1247 4
3900 1241 4
3950 1236 4
4000 1230 4
4050 1224 4
4100 1219 4
4150 1213 5
4200 1207 5
4250 1201 5
4300 1195 5
4350 1189 5
4400 1183 5
4450 1177 5
4500 1170 5
4550 1164 6
4600 1157 6
4650 1151 6
4700 1144 6
4750 1137 7
4800 1130 7
4850 1123 7
4900 1116 7
4950 1109 7
5000 1101 8
5050 1093 8
5100 1086 8
5150 1078 9
5200 1069 9
5250 1061 10
5300 1052 10
5350 1043 11
5400 1034 11
5450 1024 12
5500 1014 13
5550 1003 13
5600 992 14
5650 980 16
5700 967 17
5750 954 19
5800 939 21
5850 922 24
5900 903 28
5950 879 36
6000 843 52
