100 3950
100 400
100 1510 9
150 1454 13
200 1398 19
250 1345 26
300 1285 33
350 1200 45
400 1135 61
450 1045 92

350 1900
350 1520 2
400 1508 2
450 1494 3
500 1482 3
550 1470 4
600 1456 4
650 1444 4
700 1428 5
750 1416 5
800 1402 6
850 1387 6
900 1371 7
950 1360 7
1000 1346 7
1050 1330 8
1100 1315 9
1150 1300 9
1200 1285 10
1250 1268 11
1300 1250 12
1350 1234 12
1400 1216 14
1450 1198 15
1500 1180 16
1550 1160 17
1600 1140 19
1650 1118 21
1700 1095 24
1750 1069 27
1800 1042 31
1850 1016 37
1900 975 46
1950 930 63

700 3950
700 1524 1
750 1516 1
800 1510 1
850 1504 1
900 1498 1
950 1492 1
1000 1486 2
1050 1479 2
1100 1472 2
1150 1466 2
1200 1458 2
1250 1454 2
1300 1447 2
1350 1439 2
1400 1433 2
1450 1426 2
1500 1420 2
1550 1413 3
1600 1405 3
1650 1399 3
1700 1392 3
1750 1385 3
1800 1378 3
1850 1371 3
1900 1364 3
1950 1357 4
2000 1350 4
2050 1343 4
2100 1335 4
2150 1329 4
2200 1321 4
2250 1313 4
2300 1307 5
2350 1298 5
2400 1291 5
2450 1284 5
2500 1276 5
2550 1268 5
2600 1260 6
2650 1252 6
2700 1243 6
2750 1234 6
2800 1225 7
2850 1217 7
2900 1209 7
2950 1198 7
3000 1191 8
3050 1181 8
3100 1171 8
3150 1161 8
3200 1151 9
3250 1142 10
3300 1133 10
3350 1123 11
3400 1109 11
3450 1098 12
3500 1087 13
3550 1076 14
3600 1063 15
3650 1050 16
3700 1034 17
3750 1018 19
3800 1003 21
3850 986 24
3900 966 27
3950 943 32
4000 917 40
