100 4450
100 500
100 1508 7
150 1454 11
200 1398 25
250 1345 20
300 1285 26
350 1200 33
400 1135 43
450 1045 59
500 1030 85
550 871 170

200 2150
200 1554 1
250 1543 1
300 1531 2
350 1520 2
400 1508 2
450 1496 2
500 1485 3
550 1473 3
600 1461 3
650 1449 3
700 1437 4
750 1425 4
800 1413 4
850 1400 5
900 1388 5
950 1375 5
1000 1363 6
1050 1350 6
1100 1337 7
1150 1323 7
1200 1310 7
1250 1296 8
1300 1282 9
1350 1268 9
1400 1253 10
1450 1238 11
1500 1223 11
1550 1207 12
1600 1191 13
1650 1174 14
1700 1157 15
1750 1139 16
1800 1120 18
1850 1100 20
1900 1079 22
1950 1056 25
2000 1031 28
2050 1003 33
2100 971 40
2150 932 51
2200 875 75

350 4450
350 1561 0
400 1555 0
450 1549 1
500 1544 1
550 1538 1
600 1533 1
650 1527 1
700 1521 1
750 1515 1
800 1510 1
850 1504 1
900 1498 1
950 1493 1
1000 1487 1
1050 1481 1
1100 1475 1
1150 1470 1
1200 1464 2
1250 1458 2
1300 1452 2
1350 1446 2
1400 1440 2
1450 1434 2
1500 1429 2
1550 1423 2
1600 1417 2
1650 1411 2
1700 1405 2
1750 1399 2
1800 1392 2
1850 1386 3
1900 1380 3
1950 1374 3
2000 1368 3
2050 1361 3
2100 1355 3
2150 1349 3
2200 1342 3
2250 1336 3
2300 1329 3
2350 1323 4
2400 1316 4
2450 1310 4
2500 1303 4
2550 1296 4
2600 1290 4
2650 1283 4
2700 1276 4
2750 1269 5
2800 1262 5
2850 1254 5
2900 1247 5
2950 1240 5
3000 1232 5
3050 1225 6
3100 1217 6
3150 1210 6
3200 1202 6
3250 1194 7
3300 1186 7
3350 1177 7
3400 1169 7
3450 1160 8
3500 1152 8
3550 1143 8
3600 1134 9
3650 1124 9
3700 1115 9
3750 1105 10
3800 1095 10
3850 1085 11
3900 1074 12
3950 1063 12
4000 1051 13
4050 1039 14
4100 1026 15
4150 1013 16
4200 998 18
4250 983 20
4300 966 22
4350 948 25
4400 927 29
4450 902 36
4500 868 49
